NHMNL5,NHMNL10,Dates,SP5,SP10,Price
0.62,0.62,31/05/90,0.66,0.74,361.230011
0.85,0.72,01/06/90,0.94,0.82,363.160004
0.81,0.37,04/06/90,0.87,0.72,367.399994
0.22,0.17,05/06/90,0.82,0.79,366.640015
0.17,0.24,06/06/90,0.7,0.67,364.959991
0.25,0.45,07/06/90,0.34,0.64,363.149994
0.13,0.6,08/06/90,0.07,0.59,358.709991
0.13,0.28,11/06/90,0.17,0.45,361.630005
0.59,0.14,12/06/90,0.46,0.64,366.25
0.5,0.35,13/06/90,0.51,0.53,364.899994
0.45,0.19,14/06/90,0.71,0.34,362.899994
0.68,0.14,15/06/90,0.44,0.19,362.910004
0.17,0.11,18/06/90,0.04,0.12,356.880005
0.08,0.24,19/06/90,0.09,0.16,358.470001
0.31,0.26,20/06/90,0.18,0.19,359.100006
0.38,0.43,21/06/90,0.23,0.46,360.470001
0.83,0.73,22/06/90,0.26,0.14,355.429993
0.41,0.11,25/06/90,0.11,0.01,352.309998
0.32,0.12,26/06/90,0.07,0.03,352.059998
0.32,0.31,27/06/90,0.14,0.11,355.140015
0.43,0.59,28/06/90,0.57,0.16,357.630005
0.84,0.7,29/06/90,0.82,0.44,358.019989
0.81,0.76,02/07/90,0.9,0.42,359.540009
0.85,0.75,03/07/90,0.79,0.42,360.160004
0.16,0.39,05/07/90,0.27,0.18,355.679993
0.46,0.31,06/07/90,0.38,0.53,358.420013
0.68,0.88,09/07/90,0.34,0.77,359.519989
0.29,0.76,10/07/90,0.19,0.63,356.48999
0.82,0.79,11/07/90,0.8,0.72,361.230011
0.88,0.71,12/07/90,0.88,0.78,365.440002
0.97,0.97,13/07/90,0.93,0.83,367.309998
0.86,0.82,16/07/90,0.99,0.84,368.950012
0.52,0.51,17/07/90,0.81,0.75,367.519989
0.05,0.5,18/07/90,0.27,0.8,364.220001
0,0.31,19/07/90,0.23,0.71,365.320007
0.09,0.35,20/07/90,0.05,0.43,361.609985
0.01,0,23/07/90,0.01,0.25,355.309998
0.26,0.07,24/07/90,0.06,0.13,355.790009
0.45,0.04,25/07/90,0.07,0.1,357.089996
0.09,0,26/07/90,0.16,0.06,355.910004
0.93,0.03,27/07/90,0.31,0.01,353.440002
0.29,0.04,30/07/90,0.36,0.05,355.549988
0.49,0.55,31/07/90,0.36,0.14,356.149994
0.71,0.44,01/08/90,0.37,0.11,355.519989
0.14,0.04,02/08/90,0.29,0.1,351.480011
0,0.04,03/08/90,0.02,0.09,344.859985
0,0,06/08/90,0,0,334.429993
0.04,0.02,07/08/90,0.01,0,334.829987
0.34,0.21,08/08/90,0.03,0.02,338.350006
1,0.25,09/08/90,0.23,0.07,339.940002
1,0.25,10/08/90,0.52,0.02,335.519989
0.75,0.04,13/08/90,0.74,0.04,338.839996
0.73,0.29,14/08/90,0.52,0.05,339.390015
0.76,0.71,15/08/90,0.45,0.14,340.059998
0.28,0.91,16/08/90,0.26,0.12,332.390015
0.01,0.73,17/08/90,0.05,0.28,327.829987
0.07,0.58,20/08/90,0.06,0.3,328.51001
0,0,21/08/90,0.02,0.05,321.859985
0.02,0.02,22/08/90,0.03,0,316.549988
0,0,23/08/90,0.01,0,307.059998
0.09,0.05,24/08/90,0.04,0.01,311.51001
1,0.7,27/08/90,0.44,0.06,321.440002
0.99,0.63,28/08/90,0.78,0.06,321.339996
1,0.94,29/08/90,1,0.32,324.190002
0.97,1,30/08/90,0.87,0.3,318.709991
0.29,0.93,31/08/90,0.56,0.4,322.559998
0.42,1,04/09/90,0.61,0.6,323.089996
0.46,0.99,05/09/90,0.5,0.81,324.390015
0.54,1,06/09/90,0.61,0.9,320.459991
0.75,0.97,07/09/90,0.54,0.89,323.399994
0.62,0.52,10/09/90,0.39,0.53,321.630005
0.31,0.45,11/09/90,0.31,0.5,321.040009
0.43,0.37,12/09/90,0.65,0.48,322.540009
0.27,0.42,13/09/90,0.26,0.52,318.649994
0.11,0.17,14/09/90,0.25,0.4,316.829987
0.19,0.21,17/09/90,0.3,0.41,317.769989
0.12,0.1,18/09/90,0.25,0.38,318.600006
0.31,0.28,19/09/90,0.33,0.45,316.600006
0.13,0.04,20/09/90,0.2,0.19,311.480011
0.09,0.04,21/09/90,0.17,0.22,311.320007
0.03,0.01,24/09/90,0.06,0.11,304.589996
0.04,0.05,25/09/90,0.15,0.14,308.26001
0.21,0.06,26/09/90,0.21,0.16,305.059998
0.07,0.04,27/09/90,0.12,0.13,300.970001
0.6,0.03,28/09/90,0.63,0.23,306.049988
0.95,0.81,01/10/90,0.87,0.5,314.940002
0.96,0.8,02/10/90,0.94,0.52,315.209991
0.98,0.93,03/10/90,0.95,0.57,311.399994
0.97,0.93,04/10/90,0.86,0.65,312.690002
0.33,0.98,05/10/90,0.34,0.81,311.5
0.44,0.94,08/10/90,0.45,0.73,313.480011
0.16,0.9,09/10/90,0.23,0.59,305.100006
0.1,0.92,10/10/90,0.08,0.54,300.390015
0.04,0.82,11/10/90,0.05,0.26,295.459991
0.1,0.17,12/10/90,0.08,0.15,300.029999
0.52,0.14,15/10/90,0.49,0.22,303.230011
0.66,0.12,16/10/90,0.51,0.21,298.920013
0.91,0.22,17/10/90,0.79,0.18,298.76001
0.89,0.69,18/10/90,0.85,0.47,305.73999
0.9,0.64,19/10/90,0.96,0.6,312.480011
0.91,0.88,22/10/90,0.99,0.98,314.76001
0.9,0.93,23/10/90,0.98,0.99,312.359985
0.77,0.98,24/10/90,0.89,1,312.600006
0.56,0.9,25/10/90,0.43,0.96,310.170013
0.28,0.81,26/10/90,0.16,0.74,304.709991
0.23,0.89,29/10/90,0.15,0.77,301.880005
0.17,0.72,30/10/90,0.2,0.83,304.059998
0.33,0.56,31/10/90,0.29,0.57,304
0.68,0.31,01/11/90,0.77,0.49,307.019989
0.84,0.54,02/11/90,0.94,0.58,311.850006
0.88,0.68,05/11/90,0.96,0.79,314.589996
0.81,0.62,06/11/90,0.9,0.64,311.619995
0.75,0.6,07/11/90,0.57,0.54,306.01001
0.61,0.76,08/11/90,0.36,0.79,307.609985
0.63,0.88,09/11/90,0.58,0.96,313.73999
0.76,0.95,12/11/90,0.91,0.99,319.480011
0.78,0.86,13/11/90,0.96,0.98,317.670013
0.72,0.82,14/11/90,0.97,0.96,320.399994
0.67,0.76,15/11/90,0.72,0.78,317.019989
0.48,0.65,16/11/90,0.4,0.73,317.119995
0.47,0.68,19/11/90,0.66,0.85,319.339996
0.5,0.64,20/11/90,0.29,0.89,315.309998
0.38,0.66,21/11/90,0.53,0.86,316.029999
0.61,0.65,23/11/90,0.43,0.65,315.100006
0.61,0.49,26/11/90,0.4,0.5,316.51001
0.67,0.5,27/11/90,0.74,0.63,318.100006
0.71,0.6,28/11/90,0.71,0.51,317.950012
0.6,0.57,29/11/90,0.66,0.58,316.420013
0.65,0.64,30/11/90,0.79,0.75,322.220001
0.68,0.68,03/12/90,0.8,0.75,324.100006
0.56,0.67,04/12/90,0.89,0.92,326.350006
0.73,0.82,05/12/90,0.97,0.98,329.920013
0.43,0.51,06/12/90,0.84,0.98,329.070007
0.46,0.55,07/12/90,0.76,0.9,327.75
0.52,0.52,10/12/90,0.72,0.88,328.890015
0.31,0.48,11/12/90,0.35,0.84,326.440002
0.49,0.38,12/12/90,0.62,0.96,330.190002
0.34,0.28,13/12/90,0.65,0.79,329.339996
0.39,0.28,14/12/90,0.4,0.7,326.820007
0.37,0.35,17/12/90,0.52,0.57,326.019989
0.56,0.25,18/12/90,0.55,0.61,330.049988
0.66,0.5,19/12/90,0.58,0.63,330.200012
0.65,0.49,20/12/90,0.74,0.68,330.119995
0.51,0.35,21/12/90,0.8,0.7,331.75
0.52,0.44,24/12/90,0.51,0.72,329.899994
0.5,0.53,26/12/90,0.54,0.59,330.850006
0.53,0.6,27/12/90,0.41,0.46,328.290009
0.6,0.52,28/12/90,0.33,0.64,328.720001
0.58,0.6,31/12/90,0.53,0.72,330.220001
0.71,0.63,02/01/91,0.24,0.37,326.450012
0.64,0.57,03/01/91,0.17,0.24,321.910004
0.68,0.53,04/01/91,0.15,0.23,321
0.34,0.54,07/01/91,0.05,0.07,315.440002
0.22,0.38,08/01/91,0.09,0.09,314.899994
0.23,0.33,09/01/91,0.13,0.03,311.48999
0.37,0.45,10/01/91,0.19,0.14,314.529999
0.59,0.52,11/01/91,0.52,0.16,315.230011
0.36,0.26,14/01/91,0.36,0.06,312.48999
0.52,0.19,15/01/91,0.69,0.17,313.730011
0.63,0.44,16/01/91,0.63,0.3,316.170013
0.75,0.56,17/01/91,0.95,0.78,327.970001
0.84,0.68,18/01/91,1,0.99,332.230011
0.83,0.77,21/01/91,0.99,0.98,331.059998
0.79,0.83,22/01/91,0.92,0.99,328.309998
0.84,0.85,23/01/91,0.66,0.96,330.209991
0.84,0.83,24/01/91,0.7,1,334.779999
0.8,0.87,25/01/91,0.75,1,336.070007
0.66,0.85,28/01/91,0.84,0.99,336.029999
0.73,0.86,29/01/91,0.74,0.98,335.839996
0.63,0.79,30/01/91,0.78,0.85,340.910004
0.84,0.87,31/01/91,0.84,0.82,343.929993
0.91,0.93,01/02/91,0.81,0.84,343.049988
0.89,0.92,04/02/91,0.93,0.98,348.339996
0.89,0.89,05/02/91,0.88,0.98,351.26001
0.86,0.89,06/02/91,0.97,0.99,358.070007
0.13,0.69,07/02/91,0.94,0.96,356.519989
0.73,0.95,08/02/91,0.88,0.99,359.350006
0.45,0.82,11/02/91,0.98,1,368.579987
0.17,0.74,12/02/91,0.75,0.99,365.5
0.85,0.72,13/02/91,0.89,0.99,369.019989
0.07,0.17,14/02/91,0.61,0.93,364.220001
0.08,0.15,15/02/91,0.41,0.91,369.059998
0.11,0.12,19/02/91,0.6,0.86,369.390015
0.07,0.13,20/02/91,0.18,0.59,365.140015
0.44,0.55,21/02/91,0.41,0.62,364.970001
0.25,0.09,25/02/91,0.26,0.24,367.26001
0.14,0.08,26/02/91,0.25,0.21,362.809998
0.3,0.17,27/02/91,0.57,0.25,367.73999
0.19,0.16,28/02/91,0.48,0.44,367.070007
0.24,0.31,01/03/91,0.59,0.38,370.470001
0.88,0.43,04/03/91,0.72,0.32,369.329987
0.95,0.89,05/03/91,0.81,0.69,376.720001
0.93,0.86,06/03/91,0.81,0.67,376.170013
0.66,0.44,07/03/91,0.63,0.64,375.910004
0.46,0.55,08/03/91,0.63,0.56,374.950012
0,0.57,11/03/91,0.14,0.63,372.959991
0,0.33,12/03/91,0.1,0.37,370.029999
0.09,0.32,13/03/91,0.28,0.54,374.570007
0.32,0.6,14/03/91,0.28,0.43,373.5
0.42,0.21,15/03/91,0.39,0.45,373.589996
0.32,0.07,18/03/91,0.5,0.11,372.109985
0.18,0.07,19/03/91,0.06,0.07,366.589996
0.08,0.18,20/03/91,0.12,0.1,367.920013
0.67,0.29,21/03/91,0.08,0.09,366.579987
0.69,0.54,22/03/91,0.14,0.13,367.480011
0.9,0.74,25/03/91,0.6,0.29,369.829987
0.93,0.77,26/03/91,0.81,0.37,376.299988
0.93,0.75,27/03/91,0.82,0.37,375.350006
0.78,0.74,28/03/91,0.77,0.35,375.220001
0.32,0.73,01/04/91,0.45,0.24,371.299988
0.74,0.92,02/04/91,0.57,0.74,379.5
0.79,0.94,03/04/91,0.62,0.66,378.940002
0.95,0.88,04/04/91,0.64,0.75,379.769989
0.82,0.79,05/04/91,0.63,0.57,375.359985
0.08,0.48,08/04/91,0.29,0.61,378.660004
0.03,0.33,09/04/91,0.1,0.17,373.559998
0.02,0.16,10/04/91,0.06,0.2,373.149994
0.19,0.5,11/04/91,0.53,0.41,377.630005
0.79,0.73,12/04/91,0.49,0.64,380.399994
0.88,0.47,15/04/91,0.8,0.36,381.190002
1,0.37,16/04/91,0.97,0.62,387.619995
0.98,0.66,17/04/91,0.93,0.67,390.450012
0.58,0.56,18/04/91,0.81,0.77,388.459991
0.05,0.28,19/04/91,0.54,0.51,384.200012
0,0.2,22/04/91,0.06,0.55,380.950012
0,0.4,23/04/91,0.03,0.6,381.76001
0.09,0.28,24/04/91,0.12,0.48,382.76001
0.5,0.2,25/04/91,0.15,0.21,379.25
0.7,0.16,26/04/91,0.27,0.19,379.019989
0.36,0.1,29/04/91,0.04,0.04,373.660004
0.27,0.07,30/04/91,0.07,0.03,375.339996
0.58,0.2,01/05/91,0.44,0.13,380.290009
0.77,0.7,02/05/91,0.48,0.18,380.519989
0.65,0.66,03/05/91,0.77,0.31,380.799988
0.53,0.54,06/05/91,0.67,0.24,380.079987
0.45,0.54,07/05/91,0.24,0.17,377.320007
0.2,0.49,08/05/91,0.29,0.31,378.51001
0.71,0.68,09/05/91,0.55,0.54,383.25
0.63,0.7,10/05/91,0.2,0.45,375.73999
0.23,0.46,13/05/91,0.35,0.39,376.76001
0.17,0.21,14/05/91,0.09,0.11,371.619995
0.08,0.15,15/05/91,0.01,0.09,368.570007
0.15,0.27,16/05/91,0.25,0.13,372.190002
0.28,0.29,17/05/91,0.22,0.18,372.390015
0.54,0.25,20/05/91,0.45,0.22,372.279999
0.69,0.31,21/05/91,0.75,0.26,375.350006
0.52,0.18,22/05/91,0.64,0.19,376.190002
0.65,0.3,23/05/91,0.56,0.37,374.959991
0.49,0.39,24/05/91,0.69,0.42,377.48999
0.68,0.71,28/05/91,0.74,0.71,381.940002
0.87,0.82,29/05/91,0.74,0.81,382.790009
0.94,0.89,30/05/91,0.89,0.81,386.959991
0.94,0.88,31/05/91,0.9,0.85,389.829987
0.86,0.84,03/06/91,0.68,0.81,388.059998
0.46,0.77,04/06/91,0.62,0.73,387.73999
0.19,0.75,05/06/91,0.27,0.62,385.089996
0.09,0.51,06/06/91,0.09,0.59,383.630005
0.07,0.36,07/06/91,0.02,0.4,379.429993
0.08,0.19,10/06/91,0.01,0.17,378.570007
0.14,0.13,11/06/91,0.2,0.22,381.049988
0.17,0.07,12/06/91,0.08,0.03,376.649994
0.31,0.08,13/06/91,0.32,0.02,377.630005
0.53,0.1,14/06/91,0.58,0.13,382.290009
0.48,0.14,17/06/91,0.35,0.12,380.130005
0.74,0.19,18/06/91,0.47,0.14,378.589996
0.35,0.14,19/06/91,0.27,0.08,375.089996
0.29,0.27,20/06/91,0.1,0.21,375.420013
0.28,0.37,21/06/91,0.29,0.34,377.75
0.16,0.22,24/06/91,0.06,0.05,370.940002
0.4,0.33,25/06/91,0.21,0.17,370.649994
0.37,0.33,26/06/91,0.26,0.17,371.589996
0.48,0.3,27/06/91,0.3,0.13,374.399994
0.55,0.22,28/06/91,0.45,0.07,371.160004
0.83,0.37,01/07/91,0.83,0.43,377.920013
0.71,0.59,02/07/91,0.77,0.57,377.470001
0.49,0.41,03/07/91,0.42,0.34,373.329987
0.64,0.43,05/07/91,0.62,0.28,374.079987
0.42,0.68,08/07/91,0.46,0.68,377.940002
0.76,0.78,09/07/91,0.41,0.66,376.109985
0.84,0.78,10/07/91,0.61,0.63,375.73999
0.66,0.6,11/07/91,0.65,0.61,376.970001
0.83,0.81,12/07/91,0.6,0.83,380.25
0.78,0.75,15/07/91,0.83,0.67,382.390015
0.54,0.71,16/07/91,0.8,0.64,381.540009
0.67,0.74,17/07/91,0.73,0.77,381.179993
0.43,0.71,18/07/91,0.76,0.91,385.369995
0.32,0.72,19/07/91,0.53,0.71,384.220001
0.35,0.41,22/07/91,0.48,0.71,382.880005
0.38,0.35,23/07/91,0.36,0.61,379.420013
0.21,0.37,24/07/91,0.12,0.5,378.640015
0.21,0.22,25/07/91,0.3,0.46,380.959991
0.44,0.19,26/07/91,0.35,0.37,380.929993
0.47,0.32,29/07/91,0.71,0.49,383.149994
0.89,0.61,30/07/91,0.93,0.7,386.690002
0.84,0.57,31/07/91,0.88,0.6,387.809998
0.67,0.37,01/08/91,0.83,0.62,387.119995
0.85,0.71,02/08/91,0.72,0.69,387.179993
0.36,0.6,05/08/91,0.38,0.74,385.059998
0.76,0.86,06/08/91,0.62,0.92,390.619995
0.97,0.95,07/08/91,0.67,0.87,390.559998
0.75,0.86,08/08/91,0.55,0.79,389.320007
0.49,0.66,09/08/91,0.54,0.62,387.119995
0.17,0.32,12/08/91,0.29,0.46,388.019989
0.26,0.76,13/08/91,0.4,0.52,389.619995
0.45,0.84,14/08/91,0.45,0.59,389.899994
0.58,0.49,15/08/91,0.55,0.54,389.329987
0.34,0.31,16/08/91,0.28,0.4,385.579987
0.01,0.02,19/08/91,0.01,0.01,376.470001
0.04,0.04,20/08/91,0.02,0.05,379.429993
0.61,0.31,21/08/91,0.5,0.45,390.589996
0.92,0.69,22/08/91,0.82,0.64,391.329987
1,0.71,23/08/91,1,0.73,394.170013
0.88,0.18,26/08/91,0.98,0.65,393.850006
0.21,0.12,27/08/91,0.63,0.6,393.059998
0.53,0.63,28/08/91,0.79,0.79,396.640015
0.59,0.85,29/08/91,0.59,0.92,396.470001
0.39,0.92,30/08/91,0.51,1,395.429993
0.46,0.79,03/09/91,0.41,0.94,392.149994
0.06,0.09,04/09/91,0.13,0.38,389.970001
0.04,0.06,05/09/91,0.09,0.28,389.140015
0.45,0.2,06/09/91,0.16,0.22,389.100006
0.16,0.2,09/09/91,0.25,0.22,388.570007
0.34,0.17,10/09/91,0.19,0.12,384.559998
0.61,0.07,11/09/91,0.24,0.05,385.089996
0.41,0.12,12/09/91,0.41,0.09,387.339996
0.77,0.43,13/09/91,0.19,0.05,383.589996
0.72,0.25,16/09/91,0.54,0.22,385.779999
0.74,0.63,17/09/91,0.5,0.3,385.5
0.59,0.74,18/09/91,0.47,0.36,386.940002
0.82,0.67,19/09/91,0.75,0.41,387.559998
0.95,0.88,20/09/91,0.61,0.46,387.920013
0.47,0.73,23/09/91,0.48,0.53,385.920013
0.63,0.79,24/09/91,0.51,0.63,387.709991
0.24,0.61,25/09/91,0.43,0.45,386.880005
0.17,0.56,26/09/91,0.38,0.64,386.48999
0.9,0.86,27/09/91,0.47,0.45,385.899994
0.72,0.78,30/09/91,0.48,0.58,387.859985
0.92,0.84,01/10/91,0.66,0.57,389.200012
0.9,0.63,02/10/91,0.58,0.45,388.26001
0.12,0.22,03/10/91,0.36,0.29,384.470001
0.13,0.45,04/10/91,0.12,0.26,381.25
0.01,0.15,07/10/91,0.03,0.13,379.5
0.07,0.29,08/10/91,0.06,0.19,380.670013
0.33,0.34,09/10/91,0.05,0.07,376.799988
0.2,0.07,10/10/91,0.42,0.22,380.549988
0.76,0.17,11/10/91,0.6,0.17,381.450012
0.66,0.13,14/10/91,0.86,0.32,386.470001
0.98,0.58,15/10/91,0.98,0.63,391.01001
1,0.94,16/10/91,0.96,0.84,392.799988
0.94,0.88,17/10/91,0.94,0.9,391.920013
0.93,0.96,18/10/91,0.86,0.95,392.5
0.09,0.61,21/10/91,0.39,0.88,390.019989
0.08,0.72,22/10/91,0.18,0.92,387.829987
0.08,0.64,23/10/91,0.22,0.82,387.940002
0.03,0.35,24/10/91,0.08,0.66,385.070007
0.16,0.18,25/10/91,0.17,0.32,384.200012
0.16,0.05,28/10/91,0.61,0.38,389.519989
0.58,0.06,29/10/91,0.78,0.4,391.480011
0.95,0.28,30/10/91,0.94,0.5,392.959991
0.95,0.27,31/10/91,0.95,0.45,392.450012
0.83,0.53,01/11/91,0.59,0.51,391.320007
0.2,0.15,04/11/91,0.36,0.61,390.279999
0.14,0.43,05/11/91,0.18,0.47,388.709991
0.26,0.67,06/11/91,0.27,0.77,389.970001
0.74,0.93,07/11/91,0.7,0.91,393.720001
0.97,0.87,08/11/91,0.72,0.66,392.890015
0.73,0.55,11/11/91,0.81,0.5,393.119995
0.98,0.84,12/11/91,0.9,0.68,396.73999
0.19,0.41,13/11/91,0.75,0.76,397.410004
0,0.04,14/11/91,0.79,0.79,397.149994
0.02,0.12,15/11/91,0.01,0.1,382.619995
0,0.09,18/11/91,0.01,0.2,385.23999
0.03,0.04,19/11/91,0,0.04,379.420013
0.52,0.02,20/11/91,0,0,378.529999
0.55,0.02,21/11/91,0.25,0.02,380.059998
0.34,0.04,22/11/91,0.07,0,376.140015
0.44,0,25/11/91,0.21,0,375.339996
0.31,0.06,26/11/91,0.43,0.01,377.959991
0.46,0.57,27/11/91,0.25,0.01,376.549988
0.66,0.57,29/11/91,0.4,0.16,375.220001
0.73,0.57,02/12/91,0.88,0.25,381.399994
0.91,0.91,03/12/91,0.72,0.5,380.959991
0.63,0.64,04/12/91,0.73,0.51,380.070007
0.59,0.56,05/12/91,0.64,0.29,377.390015
0.64,0.75,06/12/91,0.31,0.67,379.100006
0.28,0.83,09/12/91,0.27,0.67,378.26001
0.25,0.54,10/12/91,0.33,0.4,377.899994
0.14,0.23,11/12/91,0.51,0.48,377.700012
0.43,0.58,12/12/91,0.71,0.86,381.549988
0.78,0.84,13/12/91,0.9,0.71,384.470001
0.92,0.56,16/12/91,0.9,0.73,384.459991
0.9,0.49,17/12/91,0.82,0.63,382.73999
0.33,0.39,18/12/91,0.58,0.84,383.480011
0.17,0.39,19/12/91,0.32,0.71,382.519989
0.73,0.91,20/12/91,0.71,0.9,387.040009
1,1,23/12/91,0.97,0.99,396.820007
1,1,24/12/91,0.99,1,399.329987
1,0.99,26/12/91,1,1,404.839996
0.95,0.98,27/12/91,0.99,0.99,406.459991
0.94,1,30/12/91,0.98,1,415.140015
0.96,1,31/12/91,0.97,1,417.089996
0.09,0.96,02/01/92,0.91,0.99,417.26001
0.27,0.97,03/01/92,0.91,1,419.339996
0.11,0.95,06/01/92,0.69,0.97,417.959991
0.04,0.56,07/01/92,0.46,0.92,417.399994
0.92,0.76,08/01/92,0.5,0.89,418.100006
0.81,0.68,09/01/92,0.33,0.87,417.609985
0.09,0.08,10/01/92,0.25,0.79,415.100006
0.08,0.01,13/01/92,0.24,0.35,414.339996
0.23,0.03,14/01/92,0.63,0.62,420.440002
0.46,0.95,15/01/92,0.7,0.65,420.769989
0.89,0.63,16/01/92,0.7,0.34,418.209991
0.83,0.18,17/01/92,0.78,0.44,418.859985
0.1,0.1,20/01/92,0.18,0.35,416.359985
0.01,0.02,21/01/92,0.06,0.18,412.640015
0.05,0.01,22/01/92,0.45,0.44,418.130005
0.24,0.41,23/01/92,0.23,0.41,414.959991
0.5,0.52,24/01/92,0.42,0.5,415.480011
0.66,0.14,27/01/92,0.65,0.19,414.98999
0.7,0.08,28/01/92,0.25,0.18,414.959991
0.57,0.14,29/01/92,0.16,0.13,410.339996
0.39,0.15,30/01/92,0.22,0.16,411.619995
0.34,0.45,31/01/92,0.11,0.15,408.779999
0.27,0.5,03/02/92,0.13,0.29,409.529999
0.43,0.65,04/02/92,0.73,0.25,413.850006
0.79,0.72,05/02/92,0.61,0.37,413.839996
0.74,0.7,06/02/92,0.81,0.32,413.820007
0.67,0.5,07/02/92,0.52,0.23,411.089996
0.43,0.37,10/02/92,0.43,0.35,413.769989
0.34,0.42,11/02/92,0.44,0.7,413.76001
0.48,0.78,12/02/92,0.72,0.76,417.130005
0.48,0.63,13/02/92,0.66,0.74,413.690002
0.45,0.54,14/02/92,0.35,0.62,412.480011
0.37,0.34,18/02/92,0.11,0.14,407.380005
0.17,0.13,19/02/92,0.06,0.18,408.26001
0.64,0.51,20/02/92,0.48,0.43,413.899994
0.58,0.47,21/02/92,0.38,0.44,411.429993
0.36,0.29,24/02/92,0.79,0.33,412.269989
0.33,0.12,25/02/92,0.58,0.28,410.450012
0.28,0.3,26/02/92,0.51,0.33,415.350006
0.5,0.45,27/02/92,0.62,0.46,413.859985
0.6,0.42,28/02/92,0.48,0.46,412.700012
0.77,0.39,02/03/92,0.55,0.75,412.450012
0.53,0.68,03/03/92,0.27,0.71,412.850006
0.33,0.19,04/03/92,0.14,0.19,409.329987
0.18,0.13,05/03/92,0.1,0.18,406.51001
0.17,0.24,06/03/92,0.07,0.08,404.440002
0.15,0.49,09/03/92,0.08,0.18,405.209991
0.29,0.22,10/03/92,0.32,0.07,406.890015
0.5,0.12,11/03/92,0.31,0.07,404.029999
0.46,0.15,12/03/92,0.45,0.08,403.890015
0.54,0.23,13/03/92,0.53,0.16,405.839996
0.39,0.14,16/03/92,0.45,0.18,406.390015
0.78,0.36,17/03/92,0.86,0.5,409.579987
0.79,0.67,18/03/92,0.85,0.63,409.149994
0.78,0.83,19/03/92,0.78,0.81,409.799988
0.82,0.77,20/03/92,0.82,0.84,411.299988
0.45,0.54,23/03/92,0.48,0.66,409.910004
0.57,0.73,24/03/92,0.42,0.75,408.880005
0.35,0.73,25/03/92,0.31,0.72,407.519989
0.23,0.54,26/03/92,0.21,0.57,407.859985
0.23,0.43,27/03/92,0.09,0.32,403.5
0.17,0.23,30/03/92,0.13,0.17,403
0.3,0.3,31/03/92,0.21,0.22,403.690002
0.25,0.15,01/04/92,0.22,0.22,404.230011
0.5,0.16,02/04/92,0.27,0.06,400.5
0.43,0.21,03/04/92,0.39,0.11,401.549988
0.47,0.22,06/04/92,0.6,0.36,405.589996
0.47,0.2,07/04/92,0.13,0.09,398.059998
0.17,0.09,08/04/92,0.14,0.05,394.5
0.64,0.41,09/04/92,0.45,0.41,400.640015
0.65,0.58,10/04/92,0.41,0.61,404.290009
0.79,0.53,13/04/92,0.92,0.64,406.079987
0.94,0.86,14/04/92,0.97,0.86,412.390015
0.92,0.92,15/04/92,0.94,0.89,416.279999
0.83,0.9,16/04/92,0.9,0.88,416.040009
0.63,0.68,20/04/92,0.78,0.75,410.179993
0.27,0.73,21/04/92,0.32,0.86,410.26001
0.35,0.95,22/04/92,0.04,0.88,409.809998
0.43,0.84,23/04/92,0.15,0.84,411.600006
0.61,0.67,24/04/92,0.39,0.72,409.019989
0.59,0.58,27/04/92,0.35,0.55,408.450012
0.19,0.29,28/04/92,0.44,0.28,409.109985
0.54,0.34,29/04/92,0.55,0.25,412.019989
0.7,0.49,30/04/92,0.86,0.39,414.950012
0.71,0.63,01/05/92,0.77,0.55,412.529999
0.85,0.82,04/05/92,0.88,0.8,416.910004
0.69,0.61,05/05/92,0.78,0.8,416.839996
0.66,0.68,06/05/92,0.57,0.73,416.790009
0.72,0.73,07/05/92,0.72,0.79,415.850006
0.5,0.76,08/05/92,0.41,0.8,416.049988
0.62,0.87,11/05/92,0.58,0.83,418.48999
0.56,0.67,12/05/92,0.44,0.64,416.290009
0.58,0.62,13/05/92,0.55,0.52,416.450012
0.18,0.35,14/05/92,0.25,0.49,413.140015
0.1,0.25,15/05/92,0.01,0.11,410.089996
0.25,0.34,18/05/92,0.22,0.27,412.809998
0.25,0.33,19/05/92,0.49,0.44,416.369995
0.8,0.4,20/05/92,0.69,0.44,415.390015
0.58,0.27,21/05/92,0.73,0.29,412.600006
0.49,0.28,22/05/92,0.61,0.25,414.019989
0.31,0.19,26/05/92,0.14,0.24,411.410004
0.16,0.18,27/05/92,0.25,0.27,412.170013
0.68,0.52,28/05/92,0.87,0.72,416.73999
0.76,0.75,29/05/92,0.64,0.82,415.350006
0.78,0.5,01/06/92,0.94,0.75,417.299988
0.81,0.5,02/06/92,0.62,0.38,413.5
0.66,0.39,03/06/92,0.35,0.48,414.589996
0.46,0.69,04/06/92,0.36,0.6,413.26001
0.37,0.45,05/06/92,0.22,0.49,413.480011
0.5,0.65,08/06/92,0.51,0.65,413.359985
0.3,0.49,09/06/92,0.16,0.4,410.059998
0.1,0.33,10/06/92,0.11,0.03,407.25
0.21,0.17,11/06/92,0.2,0.17,409.049988
0.36,0.37,12/06/92,0.26,0.11,409.76001
0.38,0.29,15/06/92,0.59,0.38,410.290009
0.66,0.33,16/06/92,0.64,0.19,408.320007
0.17,0.08,17/06/92,0.04,0.01,402.26001
0.02,0.17,18/06/92,0.01,0.01,400.959991
0.38,0.24,19/06/92,0.06,0.05,403.670013
0.09,0.23,22/06/92,0.18,0.17,403.399994
0.84,0.42,23/06/92,0.71,0.4,404.040009
