"","Mean","Standard.Deviation","Skewness","Kurtosis","T.Test","Winners","Loserss"
"1",-48.9544460482001,16.0128229044152,1.50948836550916,1.15138548459048,3.13986463484383e-52,99,1
"2",-29.4788378677828,19.0290341116483,0.873345169663341,-0.532283986287438,3.28220470016533e-28,88,12
"3",-38.0986305953206,18.5910148904812,1.17789414986183,0.795787044974439,2.15085269796571e-37,93,7
"4",-39.3439857967155,17.3518784240632,1.3515859105447,2.00113591097133,5.50700312916454e-41,94,6
"5",-49.7254767369527,13.4267998244413,1.43408433823413,3.18633265980138,8.1561474775944e-60,99,1
"6",-49.7331267217631,10.2296488085934,0.157461680352612,-0.0395678982584737,6.63569717004976e-71,100,0
"7",-41.7640749533661,12.0924544007551,0.908851276281476,-0.0526725704148019,5.00425000251329e-57,100,0
"8",-36.2034906685099,11.9652880440507,1.38802688183306,1.59849279738684,7.93401673523861e-52,99,1
"9",-39.8449154505444,21.2913882139285,0.69128452719961,-0.985334545254699,2.77468894160612e-34,96,4
"10",-39.0690908192021,21.5638683503005,0.869021827366264,-0.562260307561006,3.34065091880698e-33,92,8
"11",-44.225754939581,19.6688867259027,1.15971457639663,0.239062939382001,1.10396592511225e-40,95,5
"12",-49.6623349596504,15.8117501579261,1.53496531918094,1.94462671045952,2.77810858609648e-53,98,2
"13",-30.561648806212,13.4939747333122,0.794511662080352,-0.387105575577491,6.05446272215429e-41,98,2
"14",-26.195149779094,8.86600669880939,1.37844127336063,1.59191948295804,6.63131470126078e-51,98,2
"15",-27.0927501989054,7.91202087565188,1.26093390434784,1.81789494149297,1.09572815683085e-56,99,1
"16",-13.3868646848642,12.2330159611155,-0.432122581846755,-0.830724714273693,9.69337768351172e-19,89,11
"17",-16.6843250741414,12.2351049763386,-0.122536239015884,-1.08282409761526,1.84569392636185e-24,93,7
"18",-21.4804993709475,12.2267461527334,0.80665262818028,-0.46261044998241,3.44156403391798e-32,94,6
"19",-27.4760766649814,10.8223991034879,1.2166674568731,0.595032409579331,3.86577353347287e-45,98,2
"20",-28.6728517425779,8.89318036110691,1.19276871322728,0.808038590760904,2.61630791570416e-54,100,0
"21",2.11960575386255,13.4704354104464,0.597580228863308,0.55763753696772,0.118787973409277,42,58
"22",-4.0635579687001,12.7087756125799,0.651674153853237,0.590339815076338,0.00186195757689385,65,35
"23",-2.74216622825234,13.025671929756,0.60626829791395,0.3929349610334,0.0378049436152492,57,43
"24",-15.9558134434009,11.4480583855293,0.581098875543146,0.217751417943176,4.42103823363765e-25,92,8
"25",2.96002358780314,13.854070383579,0.69089987407947,0.512334819386189,0.035097431102912,47,53
"26",-31.4042719840739,8.33417256128703,0.425797984420775,-0.079081711835292,1.6438194436336e-60,100,0
"27",-3.52868409556,11.6420736658289,0.529206106468133,-0.0309330575558717,0.00311083610188292,62,38
"28",-5.99787479369673,11.5843490529857,0.678321527676861,0.0327090864215989,1.1819836800691e-06,70,30
"29",-8.67318293519891,11.2353399634114,0.847265499240454,0.328083946976833,9.52310647428844e-12,80,20
"30",-16.3278245376912,10.3084521963688,1.02288371144118,0.692301322847947,6.81374500458265e-29,92,8
"31",1.41343162127233,13.0677994369984,0.565886540515646,-0.510232825567879,0.282051673658792,53,47
"32",-17.1671413900676,11.601369459868,0.677681850062689,-0.369070868567872,7.91000006442487e-27,88,12
"33",-10.324442774856,13.3866424207808,0.83557353477209,-0.0414672338146209,9.85795306841242e-12,77,23
"34",-10.3011243413683,13.912557448594,0.805287109810395,-0.20702034318497,4.42717438101728e-11,79,21
"35",0.671680365084175,15.5996409679033,0.811880707980815,-0.197612324842061,0.667713918633623,57,43
"36",7.50975937461829,15.1714374626435,0.860925190322919,-0.0396874942870631,3.05097929077627e-06,39,61
"37",-3.01471349672074,13.8167203686213,0.534236368561153,-0.641524547592604,0.0314805854364581,63,37
"38",-6.30504668233141,13.4516453342251,0.491728026638143,-0.746125926952996,8.85674534757085e-06,69,31
"39",7.9320828707094,15.3393157761935,0.319565161057514,-0.950627222416255,1.21473345269196e-06,35,65
"40",8.95522104563369,15.4875322906324,0.240615938029032,-1.01043296801573,8.60941074664325e-08,33,67
"41",13.8341910350135,13.6517528997241,0.0436075523305638,-0.536535236326037,5.59180774988232e-17,16,84
"42",14.5793253012048,12.9317116968292,0.208451612233994,-0.571391151040679,1.86378083196786e-19,12,88
"43",-0.385399124284266,11.6406669981391,0.216625211536642,-0.666511135618583,0.741283859203697,51,49
"44",-9.78527064705317,10.8707046032838,0.308319481804663,-0.698247175184008,1.64433240307187e-14,79,21
"45",-10.3618554510152,11.3726420520678,0.365414110247853,-0.693951747255033,9.48958474644612e-15,78,22
"46",-20.9232580282178,9.64519069996653,0.494849659742793,-0.431546928975651,2.12532367166639e-39,97,3
"47",-21.2751813053989,8.66125090414737,0.436590906754228,-0.516544548490055,6.51889488759667e-44,99,1
"48",-7.04929814238884,10.4375897991562,0.268679675836009,-0.943884860554403,9.96173333715315e-10,73,27
"49",-1.90481312180694,12.2215398589001,0.0818573953356048,-0.844165868831788,0.1222892202897,62,38
"50",2.75844820703098,12.8621482526499,0.0853148517822818,-0.873826107303242,0.0344302580025145,44,56
"51",-4.40859206248772,11.9048090773274,0.0598029580796164,-0.847148017757002,0.000350459153235896,67,33
"52",-15.4770843018751,10.437592317351,0.127222937753475,-0.771028127397883,6.86278305188682e-27,87,13
"53",-18.0786952554744,9.44074063064764,0.169818817344833,-0.485781202653603,4.63466764771997e-35,98,2
